area,depth,baseline,season,season_year,n_hw_days,cum_intensity,mean_intensity,max_intensity,n_events,mean_duration,max_duration,mean_peak_intensity,max_peak_intensity,mean_event_severity,mean_gap_days_between_events,median_gap_days_between_events,n_hw_days_u,cum_intensity_u,delta_n_hw_days_unsmoothed,delta_cum_intensity_unsmoothed,n_hw_days_p2p5,n_hw_days_p50,n_hw_days_p97p5,cum_int_p2p5,cum_int_p50,cum_int_p97p5
SD22,bottom,A,SON,1977,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1978,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1978,12,2.5255152530291287,0.21045960441909406,0.45063806129719985,1,12,12,0.45063806129719985,0.45063806129719985,1,NA,NA,12,2.335015253029127,0,0.1905000000000019,0,12,29,0,2.2626717391303695,6.550746867426754
SD22,bottom,A,MAM,1978,15,0.7834863150392,0.052232421002613334,0.12922359230221048,2,7.5,9,0.09841489665003511,0.12922359230221048,1,24,24,14,0.6187817533855906,1,0.16470456165360936,2,14,31,0.04507483962937009,0.7521671418389149,1.7163445046329389
SD22,bottom,A,SON,1978,40,14.109982109764825,0.3527495527441206,0.6432565217391293,2,20,31,0.4528282608695653,0.6432565217391293,1,10,10,37,14.365307982893821,3,-0.2553258731289958,18,40,61,4.920130155024944,14.097044333570953,24.101421856735612
SD22,bottom,A,DJF,1979,8,2.9717126870990604,0.37146408588738256,0.4474948681397004,1,8,8,0.4474948681397004,0.4474948681397004,1,NA,NA,14,2.5758870277975525,-6,0.3958256593015079,0,7,23,0,2.7085772273699056,8.750755785816079
SD22,bottom,A,JJA,1979,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1979,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1979,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1980,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1980,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1980,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1980,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1981,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1981,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
